,Company Name (legal entity),City,Address,Status,Found URLs
,RB DIVERSIFIED PRIVATE LIMITED,Mumbai,"301/401, Aquamarine , Plot number 273 -B Carter Road Bandra West,Mumbai,Bandra Suburban,Maharashtra,400050-India",NOT_FOUND,https://www.thecompanycheck.com/company/rb-diversified-private-limited/U74120MH2006PTC273542; https://zauba.company/company/rb_diversified_private_limited/U74120MH2006PTC273542; https://www.sensibook.com/companies/2261918/U74120MH2006PTC273542/RB-DIVERSIFIED-PRIVATE-LIMITED; https://www.masterdata.in/company/rb_diversified_private_limited/U74120MH2006PTC273542
,VIVA FACILITY SERVICES PRIVATE LIMITED,Mumbai,"SHOP NO 80, KAWALI COMPOUND, N.M. JOSHI MARG OPP RAILWAY WORKSHOP, LOWER PAREL,,MUMBAI,Maharashtra,400013-India",NOT_FOUND,https://economictimes.indiatimes.com/company/viva-facility-services-private-limited/U74120MH2010PTC205449; https://www.vivagroup.co.in/about-us.php; https://www.exportersindia.com/viva-facility-services/; https://piceapp.com/gst-number-search/viva-facility-services-private-limited-27aadcv3396g1z1/; https://www.sulekha.com/viva-facility-services-pvt-ltd-lower-parel-mumbai-contact-address
,MANGALAM AUTOBUILD PRIVATE LIMITED,Mumbai,"28 & 30, TORNA, OPPOSITE LIFE STYLE CLUB JYOTI NAGAR,AURANGABAD,Maharashtra,431005-India",NOT_FOUND,https://mycorporateinfo.com/business/mangalam-autobuild-private-limited; https://www.quickcompany.in/company/mangalam-autobuild-private-limited; https://www.masterdata.in/director/sharad_haribhau_mulay/00637596; https://zauba.company/director/pratap_sharad_mulay/00401572; https://linkedin.com/company/mangalam-autobuild-private-limited; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/
,TOPSPIRE ANALYTICAL SERVICES PRIVATE LIMITED,Mumbai,"101, BLDG. NO.3, SIDDHI CO OP HSG SOC. LTD. KAVESAR, OPP VIJAY GARDEN, G.B. ROAD THA,NE (W),THANE,Maharashtra,400615-India",NOT_FOUND,https://zauba.company/company/topspire_analytical_services_private_limited/U74120MH2010PTC210270; https://www.quickcompany.in/company/media-analytics-designs-private-limited; https://www.infyner.com/company/topspire-analytical-services-private-limited/U74120MH2010PTC210270; https://www.sensibook.com/companies/2492711/U74120MH2010PTC210270/TOPSPIRE-ANALYTICAL-SERVICES-PRIVATE-LIMITED
,KKJ FINANCIAL SERVICES PRIVATE LIMITED,Mumbai,"52 Jalan House,5th Floor, Walkeshwar Road,Mumbai,Maharashtra,400006-India",FOUND,https://kkjsec.com/; https://zauba.company/company/kkj_financial_services_private_limited/U74120MH2010PTC211199; https://www.tofler.in/kkj-financial-services-private-limited/company/U74120MH2010PTC211199; https://www.cdslindia.com/dp/dpdetails.aspx?dp_id=35600
,FINCOMM SOLUTIONS PRIVATE LIMITED,Mumbai,"517, THE SUMMIT BUSINESS PARK, M V ROAD,OFF GUNDAVLI VILLAGE, OPP PVR CINEMA, ANDHERI EAST, MUMBAI,Mumbai,Mumbai,Maharashtra,400093-India",NOT_FOUND,https://www.thecompanycheck.com/company/fincomm-solutions-private-limited/U74120MH2010PTC211383; https://www.quickcompany.in/company/fincomm-solutions-private-limited; https://mycorporateinfo.com/business/fincomm-solutions-private-limited; https://piceapp.com/gst-number-search/fincomm-solutions-private-limited-27aabcf6593r1zr/; https://linkedin.com/in/kavita-soni-9b6767144; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/
,MANAK BANGLES PRIVATE LIMITED,Mumbai,"GALA NO. 4, BLDG. NO. 4, PIRAMAL INDUSTRIAL ESTATE S. V. ROAD, GOREGAON (WEST),MUMBAI,Maharashtra,400062-India",NOT_FOUND,https://mycorporateinfo.com/business/manak-bangles-private-limited; https://gstpan.com/gst/27AAHCM0080C1ZV-manak-bangles-private-limited; https://www.indiafilings.com/search/ajit-laxmichand-jain-din-02256848; https://piceapp.com/gst-number-search/manak-jewellers-pvt-ltd-27aafcm7597q1zc/; https://tracxn.com/d/legal-entities/india/manak-jewellers-private-limited/__J-Mug5v90xkFpnyYcuKhC83HYJVPFSgl9VCh9A-m0sk
,LIBRA DECOR PRIVATE LIMITED,Mumbai,"2F ,Floor-2,Plot -15A,35,Court Chambers,Vitthaldas Thackersey Marg,New Marine Lines,Churchg,ate,,Mumbai,Mumbai City,Maharashtra,400020-India",NOT_FOUND,https://www.houzz.in/professionals/interior-designers-and-decorators/libra-architects-and-interior-designer-pfvwin-pf~1389100426; https://www.addressadda.com/company/maharashtra/libra-decor-private-limited-U74120MH2011PTC215741.php; https://indiabiz.info/; https://librainteriors.com/
,FOXYMORON MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,"Building G & D-1, Paragon Condominium,Pandurang Budhkar Marg, Worli,,Mumbai,Mumbai,Maharashtra,400013-India",NOT_FOUND,https://foxymoron.in/; https://zauba.company/company/foxymoron_media_solutions_private_limited/U74120MH2011PTC218414; https://www.sensibook.com/companies/2494797/U74120MH2011PTC218414/FOXYMORON-MEDIA-SOLUTIONS-PRIVATE-LIMITED; https://tracxn.com/d/legal-entities/india/foxymoron-media-solutions-private-limited/__W0O_NgRxNP-AxjFajvdDXqciBO2LL0mZSV1p_gIO0AQ; https://www.zoomedia.in/
,IDEAL MOCKUPS PRIVATE LIMITED,Mumbai,"F-9/24 MIDC HINGNA INDUSTRIAL AREA,Nagpur,Nagpur,Maharashtra,440016-India",FOUND,https://idealmockups.com/; https://in.linkedin.com/company/ideal-mockups-private-limited; https://tracxn.com/d/legal-entities/india/ideal-mockups-private-limited/__nptMARzXDmSh5jptUlo9iAkYoQcFF0UyM_l--go6WMo; https://www.thecompanycheck.com/org/ideal-mockups-private-limited/260ef6f16d; https://mycorporateinfo.com/business/ideal-mockups-private-limited
